type of dye,type of fungi,concentration of dye,concentration of fungi,method of agitation,temperature,duration,pH,decolorization result,"whether the fungi was mycelium, fungal mass or whole fungi",any additional information
reactive blue 21,Pleurotus eryngii,50 mg/L,not specified,150 rpm,30°C,72 h,not specified,98.4%,mycelium,not specified
reactive yellow 160,Pleurotus eryngii,50 mg/L,not specified,150 rpm,30°C,72 h,not specified,96.8%,mycelium,not specified
reactive orange 122,Pleurotus eryngii,50 mg/L,not specified,150 rpm,30°C,72 h,not specified,97.1%,mycelium,not specified
direct congo red,Pleurotus eryngii,50 mg/L,not specified,150 rpm,30°C,72 h,not specified,97.8%,mycelium,not specified
direct yellow 5G,Pleurotus eryngii,50 mg/L,not specified,150 rpm,30°C,72 h,not specified,76%,mycelium,not specified
acid methyl orange,Pleurotus eryngii,50 mg/L,not specified,150 rpm,30°C,72 h,not specified,61.1%,mycelium,not specified
acid Eriochrome black T,Pleurotus eryngii,50 mg/L,not specified,150 rpm,30°C,72 h,not specified,96.9%,mycelium,not specified
reactive blue 21,Pleurotus eryngii,50 mg/L,not specified,not specified,not specified,4 h,not specified,57.5%,mycelium,Immobilized on wheat straw.
reactive blue 21,Pleurotus eryngii,50 mg/L,not specified,not specified,not specified,4 h,not specified,32.5%,mycelium,Immobilized on rice straw.
reactive blue 21,Pleurotus eryngii,50 mg/L,not specified,not specified,not specified,4 h,not specified,83.5%,mycelium,Immobilized on sugar cane waste.
reactive blue 21,Pleurotus eryngii,50 mg/L,not specified,not specified,not specified,4 h,not specified,62.2%,mycelium,Immobilized on wheat bran.
