type of dye,type of fungi,concentration of dye,concentration of fungi,method of agitation,temperature,duration,pH,decolorization result,"whether the fungi was mycelium, fungal mass or whole fungi",any additional information
Methyl orange,Pleurotus ostreatus,6.8 mg/L,not specified,shaking,30°C,24 h,not specified,30.86%,mycelium,not specified
Methyl orange,Pleurotus ostreatus,6.8 mg/L,not specified,shaking,30°C,48 h,not specified,35.17%,mycelium,not specified
Methyl orange,Pleurotus ostreatus,6.8 mg/L,not specified,shaking,30°C,72 h,not specified,44.29%,mycelium,not specified
Acid fast red,Pleurotus ostreatus,67 mg/L,not specified,shaking,30°C,24 h,not specified,24.86%,mycelium,not specified
Acid fast red,Pleurotus ostreatus,67 mg/L,not specified,shaking,30°C,48 h,not specified,30.89%,mycelium,not specified
Acid fast red,Pleurotus ostreatus,67 mg/L,not specified,shaking,30°C,72 h,not specified,50.33%,mycelium,not specified
Reactive black 5,Pleurotus ostreatus,100 mg/L,not specified,shaking,30°C,24 h,not specified,78.27%,mycelium,not specified
Reactive black 5,Pleurotus ostreatus,100 mg/L,not specified,shaking,30°C,48 h,not specified,84.37%,mycelium,not specified
Reactive black 5,Pleurotus ostreatus,100 mg/L,not specified,shaking,30°C,72 h,not specified,89.56%,mycelium,not specified
Congo red,Pleurotus ostreatus,20 mg/L,not specified,shaking,30°C,24 h,not specified,88.27%,mycelium,not specified
Congo red,Pleurotus ostreatus,20 mg/L,not specified,shaking,30°C,48 h,not specified,91.19%,mycelium,not specified
Congo red,Pleurotus ostreatus,20 mg/L,not specified,shaking,30°C,72 h,not specified,91.52%,mycelium,not specified
Methylene blue,Pleurotus ostreatus,3.3 mg/L,not specified,shaking,30°C,24 h,not specified,42.49%,mycelium,not specified
Methylene blue,Pleurotus ostreatus,3.3 mg/L,not specified,shaking,30°C,48 h,not specified,42.49%,mycelium,not specified
Methylene blue,Pleurotus ostreatus,3.3 mg/L,not specified,shaking,30°C,72 h,not specified,42.49%,mycelium,not specified
Disperse Violet 31,Pleurotus ostreatus,100 mg/L,not specified,shaking,30°C,24 h,not specified,88.16%,mycelium,not specified
Disperse Violet 31,Pleurotus ostreatus,100 mg/L,not specified,shaking,30°C,48 h,not specified,89.40%,mycelium,not specified
Disperse Violet 31,Pleurotus ostreatus,100 mg/L,not specified,shaking,30°C,72 h,not specified,91.52%,mycelium,not specified
