type of dye,type of fungi,concentration of dye,concentration of fungi,method of agitation,temperature,duration,pH,decolorization result,"whether the fungi was mycelium, fungal mass or whole fungi",any additional information
Acid Blue 62,Pleurotus ostreatus,0.10 g/L,not specified,shaking,30 °C,1 day,5,40%,whole fungi,Not specified
Acid Blue 62,Pleurotus ostreatus,0.10 g/L,not specified,shaking,30 °C,7 days,5,60%,whole fungi,Not specified
Direct Red 80,Phanerochaete chrysosporium,0.50 g/L,not specified,shaking,28 °C,1 day,9,45%,whole fungi,Significant spectral changes observed.
Direct Red 80,Phanerochaete chrysosporium,0.50 g/L,not specified,shaking,28 °C,7 days,9,90%,whole fungi,Treated wastewater showed a complete depletion of dye absorption peaks.
Reactive Blue 222,not specified,1.25 g/L,not specified,shaking,not specified,not specified,10,0%,not specified,No decolorization observed.
Acid Red 266,Pleurotus ostreatus,0.10 g/L,not specified,shaking,30 °C,24 h,5,up to 35%,whole fungi,Dye absorption peak at 637 nm decreased significantly.
Remazol Brilliant Blue R,mixed laccase (Pleurotus ostreatus),not specified,100 U/ml,not specified,not specified,24 h,4.5,up to 80%,immobilized enzyme,Immobilized system showed effective decolorization.
Direct Yellow 106,Pleurotus ostreatus,0.10 g/L,not specified,shaking,30 °C,7 days,5,not specified,whole fungi,Dye showed resistance to decolorization.
Direct Blue 71,Phanerochaete chrysosporium,1.00 g/L,not specified,shaking,not specified,not specified,9,up to 40%,whole fungi,Residual color detected after treatment.
not specified,Mucorales fungi,not specified,not specified,not specified,not specified,not specified,not specified,up to 94%,inactivated biomass,Significant COD reduction (up to 58%) observed.
