type of dye,type of fungi,concentration of dye,concentration of fungi,method of agitation,temperature,duration,pH,decolorization result,"whether the fungi was mycelium, fungal mass or whole fungi",any additional information
orange G,Daldenia concentrica,50 µM,not specified,shaking,30 °C,12 days,not specified,35.88 %,mycelium,Figure 1: Effect of dye concentration Orange G
orange G,Lepiota sp.,50 µM,not specified,shaking,30 °C,12 days,not specified,43.00 %,mycelium,Figure 1: Effect of dye concentration Orange G
orange G,Trametes serialis,50 µM,not specified,shaking,30 °C,12 days,not specified,32.00 %,mycelium,Figure 1: Effect of dye concentration Orange G
methyl orange,Daldenia concentrica,50 µM,not specified,shaking,30 °C,8 days,not specified,60.00 %,mycelium,Figure 2: Effect of dye concentration Methyl Orange
methyl orange,Lepiota sp.,50 µM,not specified,shaking,30 °C,16 days,not specified,58.65 %,mycelium,Figure 2: Effect of dye concentration Methyl Orange
methyl orange,Trametes serialis,50 µM,not specified,shaking,30 °C,8 days,not specified,53.28 %,mycelium,Figure 2: Effect of dye concentration Methyl Orange
congo red,Daldenia concentrica,50 µM,not specified,shaking,30 °C,8 days,not specified,91.54 %,mycelium,Figure 3: Effect of dye concentration Congo red
congo red,Lepiota sp.,50 µM,not specified,shaking,30 °C,8 days,not specified,90.07 %,mycelium,Figure 3: Effect of dye concentration Congo red
congo red,Trametes serialis,50 µM,not specified,shaking,30 °C,8 days,not specified,95.48 %,mycelium,Figure 3: Effect of dye concentration Congo red
effluent,Daldenia concentrica,not specified,not specified,not specified,39 °C,7 days,not specified,84.52 %,not specified,Figure 4: Effect of fungal treatment on colour removal in dye industry effluent
effluent,Lepiota sp.,not specified,not specified,not specified,not specified,7 days,not specified,66.67 %,not specified,Figure 4: Effect of fungal treatment on colour removal in dye industry effluent
effluent,Trametes serialis,not specified,not specified,not specified,not specified,7 days,not specified,89.28 %,not specified,Figure 4: Effect of fungal treatment on colour removal in dye industry effluent
