type of dye,type of fungi,concentration of dye,concentration of fungi,method of agitation,temperature,duration,pH,decolorization result,"whether the fungi was mycelium, fungal mass or whole fungi",any additional information
Cibacron Red C-2G-reactive dye,Coriolus versicolor,500 mg/L,not specified,not specified,not specified,not specified,not specified,70-75%,mycelium,not specified
Remazol Navy Blue GG-diazo dye,Coriolus versicolor,500 mg/L,not specified,not specified,not specified,not specified,not specified,70-75%,mycelium,not specified
Remazol Red RB-diazo dye,Coriolus versicolor,500 mg/L,not specified,not specified,not specified,not specified,not specified,70-75%,mycelium,not specified
Cibacron Orange CG-reactive dye,Coriolus versicolor,500 mg/L,not specified,not specified,not specified,not specified,not specified,70-75%,mycelium,not specified
Remazol Golden Yellow RNL-azo dye,Coriolus versicolor,500 mg/L,not specified,not specified,not specified,not specified,not specified,70-75%,mycelium,not specified
Hisperse Navy D2GR-disperse dye,Coriolus versicolor,500 mg/L,not specified,not specified,not specified,not specified,not specified,70-75%,mycelium,not specified
Remazol Blue B-diazo dye,Coriolus versicolor,500 mg/L,not specified,not specified,not specified,not specified,not specified,70-75%,mycelium,not specified
Remazol Turquoise Blue G 133 -phthalocynine dye,Coriolus versicolor,500 mg/L,not specified,not specified,not specified,not specified,not specified,70-75%,mycelium,not specified
Remazol Black B-diazo dye,Phanerochaete chrysosporium,not specified,not specified,not specified,not specified,not specified,not specified,53%,mycelium,SSF performed at moisture content of 80-85%
Cibacron Yellow C-2R,Phanerochaete chrysosporium,not specified,not specified,not specified,not specified,not specified,not specified,53%,mycelium,SSF performed at moisture content of 80-85%
Cibacron Blue C-R,Phanerochaete chrysosporium,not specified,not specified,not specified,not specified,not specified,not specified,53%,mycelium,SSF performed at moisture content of 80-85%
Remazol Red RB,Phanerochaete chrysosporium,not specified,not specified,not specified,not specified,not specified,not specified,53%,mycelium,SSF performed at moisture content of 80-85%
