type of dye,type of fungi,concentration of dye,concentration of fungi,method of agitation,temperature,duration,pH,decolorization result,"whether the fungi was mycelium, fungal mass or whole fungi",any additional information
Neolane yellow,Trametes trogii,50 mg/L,not specified,shaking,30 °C,1 day,not specified,18%,not specified,None
Neolane yellow,Trametes trogii,50 mg/L,not specified,shaking,30 °C,4 days,not specified,39.6%,not specified,None
Maxillon blue,Trametes trogii,50 mg/L,not specified,shaking,30 °C,1 day,not specified,0%,not specified,None
Maxillon blue,Trametes trogii,50 mg/L,not specified,shaking,30 °C,4 days,not specified,0%,not specified,None
Neolane pink,Trametes trogii,50 mg/L,not specified,shaking,30 °C,1 day,not specified,63.6%,not specified,None
Neolane pink,Trametes trogii,50 mg/L,not specified,shaking,30 °C,4 days,not specified,86.4%,not specified,None
Basacryl yellow,Trametes trogii,50 mg/L,not specified,shaking,30 °C,10 days,not specified,0%,not specified,None
Bezaktiv S-BF turquoise,Trametes trogii,50 mg/L,not specified,shaking,30 °C,1 day,not specified,54%,not specified,None
Bezaktiv S-BF turquoise,Trametes trogii,50 mg/L,not specified,shaking,30 °C,4 days,not specified,71%,not specified,None
Neolane blue,Trametes trogii,50 mg/L,not specified,shaking,30 °C,1 day,not specified,91.5%,not specified,None
Neolane blue,Trametes trogii,50 mg/L,not specified,shaking,30 °C,4 days,not specified,91.2%,not specified,None
