type of dye,type of fungi,concentration of dye,concentration of fungi,method of agitation,temperature,duration,pH,decolorization result,"whether the fungi was mycellium, fungal mass or whole fungi",any additional information
triarylmethane,Trametes hirsuta,0.25 mM,1.5 g (wet weight),shaking,30°C,8 days,5.0,80%,mycelium,Decolorization rates compared to other dye types.
indigoid,Trametes hirsuta,0.25 mM,1.5 g (wet weight),shaking,30°C,8 days,5.0,80%,mycelium,Decolorization rates compared to other dye types.
azo,Trametes hirsuta,0.25 mM,1.5 g (wet weight),shaking,30°C,8 days,5.0,80%,mycelium,Decolorization rates compared to other dye types.
anthraquinonic,Trametes hirsuta,0.25 mM,1.5 g (wet weight),shaking,30°C,8 days,5.0,80%,mycelium,Decolorization rates compared to other dye types.
Basic Red 9 Base,Trametes hirsuta,0.25 mM,1.5 g (wet weight),shaking,30°C,8 days,5.0,80% (with 7% adsorption),mycelium,Adsorption of dye observed.
Reactive Blue 221,Trametes hirsuta,0.25 mM,1.5 g (wet weight),shaking,30°C,8 days,5.0,4.1% detoxification,mycelium,Noted low detoxification.
Reactive Black 5,Trametes hirsuta,0.25 mM,1.5 g (wet weight),shaking,30°C,8 days,5.0,11.4% detoxification,mycelium,Low detoxification rate.
Direct Blue 71,Trametes hirsuta,0.25 mM,1.5 g (wet weight),shaking,30°C,8 days,5.0,39.0% detoxification,mycelium,Increased detoxification.
Basic Red 9 Base,Trametes hirsuta,0.25 mM,1.5 g (wet weight),shaking,30°C,8 days,5.0,62.2% detoxification,mycelium,Notable detoxification.
Reactive Blue 19,Trametes hirsuta,0.25 mM,1.5 g (wet weight),shaking,30°C,8 days,5.0,84.4% detoxification,mycelium,High detoxification.
Acid Blue 225,Trametes hirsuta,0.25 mM,1.5 g (wet weight),shaking,30°C,8 days,5.0,78.0% detoxification,mycelium,Notable detoxification.
Acid Blue 74,Trametes hirsuta,0.25 mM,1.5 g (wet weight),shaking,30°C,8 days,5.0,53.7% detoxification,mycelium,Moderate detoxification.
