type of dye,type of fungi,concentration of dye,concentration of fungi,method of agitation,temperature,duration,pH,decolorization result,"whether the fungi was mycellium, fungal mass or whole fungi",any additional information
Malachite Green,Trametes versicolor,7 mg/l,3 plugs (5 mm²),none,28 °C,20 days,not specified,95%,mycelium,with copper inducer
Malachite Green,Fomes fomentarius,7 mg/l,3 plugs (5 mm²),none,28 °C,20 days,not specified,70%,mycelium,with copper inducer
Bromothymol Blue,Trametes versicolor,50 mg/l,3 plugs (5 mm²),none,28 °C,20 days,not specified,95%,mycelium,with copper inducer
Bromothymol Blue,Fomes fomentarius,50 mg/l,3 plugs (5 mm²),none,28 °C,20 days,not specified,70%,mycelium,with copper inducer
Methyl Red,Trametes versicolor,100 mg/l,3 plugs (5 mm²),none,28 °C,20 days,not specified,80%,mycelium,with copper inducer
Methyl Red,Fomes fomentarius,100 mg/l,3 plugs (5 mm²),none,28 °C,20 days,not specified,80%,mycelium,with copper inducer
Crystal Violet,Trametes versicolor,20 mg/l,3 plugs (5 mm²),none,28 °C,20 days,not specified,low,mycelium,"with copper inducer, less than 80%"
Crystal Violet,Fomes fomentarius,20 mg/l,3 plugs (5 mm²),none,28 °C,20 days,not specified,low,mycelium,"with copper inducer, less than 80%"
Methylene Blue,Trametes versicolor,240 mg/l,3 plugs (5 mm²),none,28 °C,20 days,not specified,low,mycelium,"with copper inducer, resistant dye"
Methylene Blue,Fomes fomentarius,240 mg/l,3 plugs (5 mm²),none,28 °C,20 days,not specified,low,mycelium,"with copper inducer, resistant dye"
