type of dye,type of fungi,concentration of dye,concentration of fungi,method of agitation,temperature,duration,pH,decolorization result,"whether the fungi was mycellium, fungal mass or whole fungi",any additional information
Novacron Red,Leptosphaerulina sp.,200 ppm,4 cylinders,without agitation,20–25 °C,15 days,not specified,>90%,whole fungi,Used in solid and liquid cultures
Remazol Black,Leptosphaerulina sp.,200 ppm,4 cylinders,without agitation,20–25 °C,15 days,not specified,>90%,whole fungi,Used in solid and liquid cultures
Turquoise Blue,Leptosphaerulina sp.,200 ppm,4 cylinders,without agitation,20–25 °C,15 days,not specified,>90%,whole fungi,Used in solid and liquid cultures
Remazol Black,Leptosphaerulina sp.,200 ppm,4 cylinders,agitation (150 rpm),25 °C,21 days,not specified,>90%,whole fungi,Best results at ammonium tartrate concentrations of 5 g/L and 10 g/L
Turquoise Blue,Leptosphaerulina sp.,200 ppm,4 cylinders,agitation (150 rpm),25 °C,21 days,not specified,>90%,whole fungi,Best results at ammonium tartrate concentrations of 5 g/L and 10 g/L
Novacron Red,Leptosphaerulina sp.,200 ppm,4 cylinders,agitation (150 rpm),25 °C,21 days,not specified,>90%,whole fungi,Best results at ammonium tartrate concentrations of 5 g/L and 10 g/L
Final effluent,Leptosphaerulina sp.,not specified,4 cylinders,agitation (150 rpm),25 °C,21 days,as received or pH 5,>90%,whole fungi,Supplementation of medium with glucose (10 g/L) and ammonium tartrate (5 g/L) yielded the best results.
Dyeing effluent,Leptosphaerulina sp.,200 ppm,8 cylinders,agitation (150 rpm),25 °C,21 days,as received or diluted,>90%,whole fungi,Only effective when diluted to 200 ppm.
Novacron Red,Leptosphaerulina sp.,50 ppm,lyophilized extract,agitation (150 rpm),25 °C,24 hours,3,20-80%,N/A,Enzymatic decolorization with ABTS as mediator.
Remazol Black,Leptosphaerulina sp.,50 ppm,lyophilized extract,agitation (150 rpm),25 °C,24 hours,3,20-80%,N/A,Enzymatic decolorization with ABTS as mediator.
Turquoise Blue,Leptosphaerulina sp.,50 ppm,lyophilized extract,agitation (150 rpm),25 °C,24 hours,3,20-80%,N/A,Enzymatic decolorization with ABTS as mediator.
