type of dye,type of fungi,concentration of dye,concentration of fungi,method of agitation,temperature,duration,pH,decolorization result,"whether the fungi was mycellium, fungal mass or whole fungi",any additional information
Orange II,Phanerochaete chrysosporium,50 mg/l,not specified,shaking,30°C,7 days,3.0,39.84%,mycelium,Optimum was found at pH 5.0
Orange II,Phanerochaete chrysosporium,50 mg/l,not specified,shaking,30°C,7 days,4.0,71.56%,mycelium,Optimum was found at pH 5.0
Orange II,Phanerochaete chrysosporium,50 mg/l,not specified,shaking,30°C,7 days,5.0,86.34%,mycelium,Optimum decolorization observed here
Orange II,Phanerochaete chrysosporium,50 mg/l,not specified,shaking,30°C,7 days,6.0,69.56%,mycelium,Further decrease compared to pH 5.0
Orange II,Phanerochaete chrysosporium,50 mg/l,not specified,shaking,30°C,7 days,7.0,51.42%,mycelium,Further decrease compared to pH 5.0
Orange II,Phanerochaete chrysosporium,100 mg/l,not specified,shaking,30°C,7 days,5.0,85%,mycelium,Same removal as for 50 mg/l concentration
Orange II,Phanerochaete chrysosporium,150 mg/l,not specified,shaking,30°C,7 days,5.0,not specified,mycelium,Removal starts to decrease with increased concentrations
Orange II,Phanerochaete chrysosporium,200 mg/l,not specified,shaking,30°C,7 days,5.0,not specified,mycelium,Inhibition observed in higher concentrations
Orange II,Phanerochaete chrysosporium,250 mg/l,not specified,shaking,30°C,7 days,5.0,not specified,mycelium,Strong inhibition in the decolorization rate
Orange II,Phanerochaete chrysosporium,50 mg/l,not specified,shaking,28°C,7 days,5.0,not specified,mycelium,Temperature effect study performed
Orange II,Phanerochaete chrysosporium,50 mg/l,not specified,shaking,24°C,7 days,5.0,not specified,mycelium,Temperature effect study performed
Orange II,Phanerochaete chrysosporium,50 mg/l,not specified,shaking,34°C,7 days,5.0,not specified,mycelium,Temperature effect study performed
