type of dye,type of fungi,concentration of dye,concentration of fungi,method of agitation,temperature,duration,pH,decolorization result,"whether the fungi was mycellium, fungal mass or whole fungi",any additional information
Methyl Orange,KV10,1 mg/ml,N/A,shaking,28°C,96 hours,5.4,76%,whole fungi,High decolorization efficiency
Methyl Orange,KV12,1 mg/ml,N/A,shaking,28°C,96 hours,5.4,79%,whole fungi,High decolorization efficiency
Rhodamine-B,KV10,1 mg/ml,N/A,shaking,28°C,96 hours,5.4,60%,whole fungi,Visible absorption spectra shift
Rhodamine-B,KV12,1 mg/ml,N/A,shaking,28°C,96 hours,5.4,60%,whole fungi,Visible absorption spectra shift
Methyl Orange,KV11,1 mg/ml,N/A,shaking,28°C,96 hours,5.4,60%,whole fungi,Visible absorption spectra shift
Rhodamine-B,KV11,1 mg/ml,N/A,shaking,28°C,96 hours,5.4,60%,whole fungi,Visible absorption spectra shift
Methyl Orange,KVA5,1 mg/ml,N/A,shaking,28°C,96 hours,5.4,60%,whole fungi,Visible absorption spectra shift
Rhodamine-B,KVA5,1 mg/ml,N/A,shaking,28°C,96 hours,5.4,60%,whole fungi,Visible absorption spectra shift
Methyl Orange,AKCH,1 mg/ml,N/A,shaking,28°C,96 hours,5.4,60%,whole fungi,Visible absorption spectra shift
Rhodamine-B,AKCH,1 mg/ml,N/A,shaking,28°C,96 hours,5.4,60%,whole fungi,Visible absorption spectra shift
