type of dye,type of fungi,concentration of dye,concentration of fungi,method of agitation,temperature,duration,pH,decolorization result,"whether the fungi was mycellium, fungal mass or whole fungi",any additional information
Malachite Green,Trametes versicolor,7 mg/l,3 agar plugs (5 mm²),"none (incubated at room temperature, without shaking, in dark)",28 °C,20 days,not specified,95% after 4 days,mycelium,copper inducer (0.5 mM) increased effectiveness
Bromothymol Blue,Trametes versicolor,50 mg/l,3 agar plugs (5 mm²),"none (incubated at room temperature, without shaking, in dark)",28 °C,20 days,not specified,95% after 4 days,mycelium,copper inducer (0.5 mM) increased effectiveness
Methyl Red,Trametes versicolor,100 mg/l,3 agar plugs (5 mm²),"none (incubated at room temperature, without shaking, in dark)",28 °C,20 days,not specified,around 80%,mycelium,copper inducer (0.5 mM) increased effectiveness
Crystal Violet,Trametes versicolor,20 mg/l,3 agar plugs (5 mm²),"none (incubated at room temperature, without shaking, in dark)",28 °C,20 days,not specified,low decolorization observed,mycelium,copper inducer (0.5 mM) was present
Methylene Blue,Trametes versicolor,240 mg/l,3 agar plugs (5 mm²),"none (incubated at room temperature, without shaking, in dark)",28 °C,20 days,not specified,low decolorization observed,mycelium,copper inducer (0.5 mM) was present
Malachite Green,Fomes fomentarius,7 mg/l,3 agar plugs (5 mm²),"none (incubated at room temperature, without shaking, in dark)",28 °C,20 days,not specified,around 70%,mycelium,copper inducer (0.5 mM) increased effectiveness
Bromothymol Blue,Fomes fomentarius,50 mg/l,3 agar plugs (5 mm²),"none (incubated at room temperature, without shaking, in dark)",28 °C,20 days,not specified,around 70%,mycelium,copper inducer (0.5 mM) increased effectiveness
Methyl Red,Fomes fomentarius,100 mg/l,3 agar plugs (5 mm²),"none (incubated at room temperature, without shaking, in dark)",28 °C,20 days,not specified,around 80%,mycelium,copper inducer (0.5 mM) increased effectiveness
Crystal Violet,Fomes fomentarius,20 mg/l,3 agar plugs (5 mm²),"none (incubated at room temperature, without shaking, in dark)",28 °C,20 days,not specified,lower result compared to Trametes versicolor,mycelium,copper inducer (0.5 mM) was present
Methylene Blue,Fomes fomentarius,240 mg/l,3 agar plugs (5 mm²),"none (incubated at room temperature, without shaking, in dark)",28 °C,20 days,not specified,lower result compared to Trametes versicolor,mycelium,copper inducer (0.5 mM) was present
