type of dye,type of fungi,concentration of dye,concentration of fungi,method of agitation,temperature,duration,pH,decolorization result,"whether the fungi was mycellium, fungal mass or whole fungi",any additional information
Disperse Blue 64,Aspergillus flavus,50 mg/L,Not specified,Static,30°C,48 h,7.0,96.7%,mycelium,
Acid Yellow 17,Aspergillus flavus,50 mg/L,Not specified,Static,30°C,48 h,7.0,90.1%,mycelium,
Disperse Blue 64,Aspergillus flavus,300 mg/L,Not specified,Static,30°C,48 h,7.0,30.3%,mycelium,
Acid Yellow 17,Aspergillus flavus,300 mg/L,Not specified,Static,30°C,48 h,7.0,4.6%,mycelium,
Disperse Blue 64,None,50 mg/L,Not specified,Static,30°C,48 h,7.0,≥99%,None,Consortium used
Acid Yellow 17,None,50 mg/L,Not specified,Static,30°C,48 h,7.0,≥99%,None,Consortium used
Disperse Blue 64,None,300 mg/L,Not specified,Static,30°C,48 h,7.0,55.2%,None,Consortium used
Acid Yellow 17,None,300 mg/L,Not specified,Static,30°C,48 h,7.0,57.6%,None,Consortium used
Methyl Red,None,50 µM,Not specified,Not specified,Not specified,Not specified,7.5,3.14 U/mg protein,None,Azoreductase specific activity
Disperse Blue 64,None,50 µM,Not specified,Not specified,Not specified,Not specified,7.5,1.7 U/mg protein,None,Azoreductase specific activity
Acid Yellow 17,None,50 µM,Not specified,Not specified,Not specified,Not specified,7.5,0.97 U/mg protein,None,Azoreductase specific activity
