type of dye,type of fungi,concentration of dye,concentration of fungi,method of agitation,temperature,duration,pH,decolorization result,fungi type,additional information
Enrofloxacin (ENR),Trametes versicolor,50 mg L−1,6 U mL−1,shaking,45 °C,6 h,5,98%,whole fungi,Results showed removal efficiency increased significantly in presence of HBT.
Flumequine (FLU),Trametes versicolor,50 mg L−1,6 U mL−1,shaking,45 °C,6 h,4.5,96%,whole fungi,Results showed removal efficiency increased significantly in presence of HBT.
Enrofloxacin (ENR),Trametes versicolor,50 mg L−1,6 U mL−1,shaking,30-55 °C,6 h,5,Up to 75.5%,whole fungi,Optimal removal observed at 45 °C.
Flumequine (FLU),Trametes versicolor,50 mg L−1,6 U mL−1,shaking,30-55 °C,6 h,4.5,Up to 72%,whole fungi,Optimal removal observed at 45 °C.
Enrofloxacin (ENR),Trametes versicolor,25-150 mg L−1,6 U mL−1,shaking,45 °C,6 h,5,Increased removal percentage with increasing concentration.,whole fungi,Results show varying results based on concentration.
Flumequine (FLU),Trametes versicolor,25-150 mg L−1,6 U mL−1,shaking,45 °C,6 h,4.5,Increased removal percentage with increasing concentration.,whole fungi,Results show varying results based on concentration.
Enrofloxacin (ENR),Trametes versicolor,50 mg L−1,6 U mL−1,shaking,45 °C,6 h,5,90%,whole fungi,Increased removal efficiency with HBT.
Flumequine (FLU),Trametes versicolor,50 mg L−1,6 U mL−1,shaking,45 °C,6 h,4.5,96%,whole fungi,Increased removal efficiency with HBT.
Enrofloxacin (ENR),Trametes versicolor,50 mg L−1,6 U mL−1,shaking,45 °C,20 cycles,5,17.63%,whole fungi,Reusability experiment after 20 cycles.
Flumequine (FLU),Trametes versicolor,50 mg L−1,6 U mL−1,shaking,45 °C,20 cycles,4.5,15.62%,whole fungi,Reusability experiment after 20 cycles.
