type of dye,type of fungi,concentration of dye,concentration of fungi,method of agitation,temperature,duration,pH,decolorization result,"whether the fungi was mycelium, fungal mass or whole fungi",any additional information
Crystal Violet,Bjerkandera adusta SWUSI4,100 mg/L,4 g,shaking (150 rpm),30 °C,24 h,not specified,85%,mycelium,max DE at 4g biomass
Malachite Green,Bjerkandera adusta SWUSI4,100 mg/L,4 g,shaking (150 rpm),30 °C,24 h,not specified,95%,mycelium,max DE at 4g biomass
Cotton Blue,Bjerkandera adusta SWUSI4,100 mg/L,6 g,shaking (150 rpm),30 °C,24 h,not specified,89%,mycelium,required 6g biomass for max DE
Methyl Violet,Bjerkandera adusta SWUSI4,100 mg/L,6 g,shaking (150 rpm),30 °C,24 h,not specified,92%,mycelium,required 6g biomass for max DE
Crystal Violet,Bjerkandera adusta SWUSI4,100 mg/L,2 g,static (0 rpm),30 °C,14 days,not specified,27%,mycelium,compared static vs shaking
Methyl Violet,Bjerkandera adusta SWUSI4,100 mg/L,2 g,static (0 rpm),30 °C,14 days,not specified,47%,mycelium,compared static vs shaking
Cotton Blue,Bjerkandera adusta SWUSI4,100 mg/L,2 g,static (0 rpm),30 °C,14 days,not specified,58%,mycelium,compared static vs shaking
Malachite Green,Bjerkandera adusta SWUSI4,100 mg/L,2 g,static (0 rpm),30 °C,14 days,not specified,64%,mycelium,compared static vs shaking
Crystal Violet,Bjerkandera adusta SWUSI4,100 mg/L,4 g,shaking (150 rpm),30 °C,14 days,not specified,72%,mycelium,shaking condition provided better oxygen transfer
Malachite Green,Bjerkandera adusta SWUSI4,100 mg/L,4 g,shaking (150 rpm),30 °C,14 days,not specified,81%,mycelium,shaking condition provided better oxygen transfer
Cotton Blue,Bjerkandera adusta SWUSI4,100 mg/L,4 g,shaking (150 rpm),30 °C,14 days,not specified,70%,mycelium,shaking condition provided better oxygen transfer
