type of dye,type of fungi,concentration of dye,concentration of fungi,method of agitation,temperature,duration,pH,decolorization result,"whether the fungi was mycelium, fungal mass or whole fungi",any additional information
Malachite Green,Trametes versicolor,7 mg/L,not specified,static,28 °C,20 days,not specified,95%,mycelium,copper inducer was present
Malachite Green,Fomes fomentarius,7 mg/L,not specified,static,28 °C,20 days,not specified,around 70%,mycelium,copper inducer was present
Bromothymol Blue,Trametes versicolor,50 mg/L,not specified,static,28 °C,20 days,not specified,95%,mycelium,copper inducer was present
Bromothymol Blue,Fomes fomentarius,50 mg/L,not specified,static,28 °C,20 days,not specified,around 70%,mycelium,copper inducer was present
Methyl Red,Trametes versicolor,100 mg/L,not specified,static,28 °C,20 days,not specified,around 80%,mycelium,copper inducer was present
Methyl Red,Fomes fomentarius,100 mg/L,not specified,static,28 °C,20 days,not specified,around 80%,mycelium,copper inducer was present
Crystal Violet,Trametes versicolor,20 mg/L,not specified,static,28 °C,20 days,not specified,low,mycelium,copper inducer was present
Crystal Violet,Fomes fomentarius,20 mg/L,not specified,static,28 °C,20 days,not specified,low,mycelium,copper inducer was present
Methylene Blue,Trametes versicolor,240 mg/L,not specified,static,28 °C,20 days,not specified,low,mycelium,copper inducer was present
Methylene Blue,Fomes fomentarius,240 mg/L,not specified,static,28 °C,20 days,not specified,low,mycelium,copper inducer was present
