type of dye,type of fungi,concentration of dye,concentration of fungi,method of agitation,temperature,duration,pH,decolorization result,"whether the fungi was mycelium, fungal mass or whole fungi",any additional information
Reactive Red HE8B,Phanerochaete chrysosporium,10 mg/L,10 mm agar plugs,static,27 °C,13 days,not specified,complete decolorization,whole fungi,Delayed decolorization attributed to recalcitrant nature.
Reactive Red HE8B,Phanerochaete chrysosporium,50 mg/L,10 mm agar plugs,static,27 °C,increased duration compared to 10 mg/L,not specified,successful decolorization,whole fungi,Time required increased with concentration.
Reactive Black B,Phanerochaete chrysosporium,10 mg/L,10 mm agar plugs,static,27 °C,11 days,not specified,complete decolorization,whole fungi,A second dye tested showing full decolorization in 11 days.
Reactive Golden Yellow HR,Phanerochaete chrysosporium,10 mg/L,10 mm agar plugs,static,27 °C,11 days,not specified,complete decolorization,whole fungi,Similar results as Reactive Black B.
Reactive Violet 5R,Phanerochaete chrysosporium,10 mg/L,10 mm agar plugs,static,27 °C,11 days,not specified,complete decolorization,whole fungi,Consistent with other dyes.
Reactive Red HE8B,Phanerochaete chrysosporium,10 mg/L,1 agar plug (10 mm),static,27 °C,5 days,not specified,decreased rate of decolorization,whole fungi,Smaller inoculum size resulted in denser growth.
Reactive Black B,Phanerochaete chrysosporium,10 mg/L,3 agar plugs (10 mm),static,27 °C,5 days,not specified,increased rate of decolorization,whole fungi,Increased inoculum size did not further improve decolorization.
Reactive Violet 5R,Phanerochaete chrysosporium,500 mg/L,3 agar plugs (10 mm),static,27 °C,decreased rate of decolorization,not specified,less than complete decolorization,whole fungi,At this concentration the decolorization inhibited.
Reactive Golden Yellow HR,Phanerochaete chrysosporium,250 mg/L,3 agar plugs (10 mm),static,27 °C,diminished decolorization capacity,not specified,inhibited growth of fungi,whole fungi,Inhibitory effects noted at higher dye concentrations.
Reactive Red HE8B,Phanerochaete chrysosporium,10 mg/L,10 mm plugs with different nitrogen sources,static,27 °C,varied between nitrogen sources,not specified,varied results based on nitrogen source,whole fungi,Sodium nitrite inhibited growth; asparagine was beneficial.
Reactive Black B,Phanerochaete chrysosporium,10 mg/L,10 mm plugs with different carbon sources,static,27 °C,varied results based on carbon source,not specified,maximal with dextrose,whole fungi,Benefits from carbon sources noted during degradation.
