type of dye,type of fungi,concentration of dye,concentration of fungi,method of agitation,temperature,duration,pH,decolorization result,"whether the fungi was mycelium, fungal mass or whole fungi",any additional information
Orange G,Daldenia concentrica,50 µM,10^5 spores/ml,shaking,30 °C,12 days,not specified,35.88%,mycelium,Maximum dye removal observed on twelfth day
Orange G,Lepiota sp.,50 µM,10^5 spores/ml,shaking,30 °C,12 days,not specified,43.00%,mycelium,Maximum dye removal observed on twelfth day
Orange G,Trametes serialis,50 µM,10^5 spores/ml,shaking,30 °C,12 days,not specified,32.00%,mycelium,Maximum dye removal observed on twelfth day
Methyl Orange,Daldenia concentrica,50 µM,10^5 spores/ml,shaking,30 °C,8 days,not specified,60.00%,mycelium,Maximum dye removal observed at eighth day
Methyl Orange,Lepiota sp.,50 µM,10^5 spores/ml,shaking,30 °C,16 days,not specified,58.65%,mycelium,Maximum dye removal observed at sixteenth day
Methyl Orange,Trametes serialis,50 µM,10^5 spores/ml,shaking,30 °C,8 days,not specified,53.28%,mycelium,Maximum dye removal observed at eighth day
Congo Red,Daldenia concentrica,50 µM,10^5 spores/ml,shaking,30 °C,8 days,not specified,91.54%,mycelium,Maximum dye removal observed at eighth day
Congo Red,Lepiota sp.,50 µM,10^5 spores/ml,shaking,30 °C,8 days,not specified,90.07%,mycelium,Maximum dye removal observed at eighth day
Congo Red,Trametes serialis,50 µM,10^5 spores/ml,shaking,30 °C,8 days,not specified,95.48%,mycelium,Maximum dye removal observed at eighth day
Dye industry effluent,Daldenia concentrica,not specified,10^5 spores/ml,batch mode,39 °C,7 days,not specified,84.52%,mycelium,Maximum removal observed on seventh day
Dye industry effluent,Lepiota sp.,not specified,10^5 spores/ml,batch mode,39 °C,7 days,not specified,66.67%,mycelium,Maximum removal observed on seventh day
Dye industry effluent,Trametes serialis,not specified,10^5 spores/ml,batch mode,39 °C,7 days,not specified,89.28%,mycelium,Maximum removal observed on seventh day
Dye industry effluent,Lepiota sp.,not specified,10^5 spores/ml,continuous mode,39 °C,7 days,not specified,55.95%,mycelium,Maximum removal observed on seventh day
Dye industry effluent,Daldenia concentrica,not specified,10^5 spores/ml,continuous mode,39 °C,5 days,not specified,52.38%,mycelium,Maximum removal observed on fifth day
Dye industry effluent,Trametes serialis,not specified,10^5 spores/ml,continuous mode,39 °C,5 days,not specified,54.76%,mycelium,Maximum removal observed on fifth day
