type of dye,type of fungi,concentration of dye,concentration of fungi,method of agitation,temperature,duration,pH,decolorization result,"whether the fungi was mycelium, fungal mass or whole fungi",any additional information
indigo carmine,Coriolus antarcticus,100 µM,not specified,not specified,not specified,5 h,5.2,93%,not specified,
malachite green,Coriolus antarcticus,100 µM,not specified,not specified,not specified,5 h,5.2,86%,not specified,
azure B,Coriolus antarcticus,100 µM,not specified,not specified,not specified,5 h,5.2,82%,not specified,
Remazol Brilliant Blue R (RBBR),Coriolus antarcticus,100 µM,not specified,not specified,not specified,5 h,5.2,82%,not specified,
crystal violet,Coriolus antarcticus,100 µM,not specified,not specified,not specified,5 h,5.2,77%,not specified,
xylidine,Coriolus antarcticus,100 µM,not specified,not specified,not specified,5 h,5.2,58%,not specified,
indigo carmine,Trametes trogii,20 µM,not specified,not specified,not specified,2 h,not specified,74%,not specified,
malachite green,Trametes trogii,20 µM,not specified,not specified,not specified,2 h,not specified,89.1%,not specified,
xylidine,Trametes trogii,20 µM,not specified,not specified,not specified,2 h,not specified,27.3%,not specified,
crystal violet,Trametes trogii,20 µM,not specified,not specified,not specified,2 h,not specified,80.9%,not specified,
Remazol Brilliant Blue R (RBBR),Trametes trogii,20 µM,not specified,not specified,not specified,2 h,not specified,71.8%,not specified,
indigo carmine,Stereum hirsutum,20 µM,not specified,not specified,not specified,2 h,not specified,78.7%,not specified,
malachite green,Stereum hirsutum,20 µM,not specified,not specified,not specified,2 h,not specified,92.7%,not specified,
