type of dye,type of fungi,concentration of dye,concentration of fungi,method of agitation,temperature,duration,pH,decolorization result,"whether the fungi was mycelium, fungal mass or whole fungi",any additional information
Methyl orange,Pleurotus ostreatus,6.8 mg/L,not specified,shaking,30°C,24h,not specified,30.86%,mycelium,
Methyl orange,Pleurotus ostreatus,6.8 mg/L,not specified,shaking,30°C,48h,not specified,35.17%,mycelium,
Methyl orange,Pleurotus ostreatus,6.8 mg/L,not specified,shaking,30°C,72h,not specified,44.29%,mycelium,
Acid fast red,Pleurotus ostreatus,67 mg/L,not specified,shaking,30°C,24h,not specified,24.86%,mycelium,
Acid fast red,Pleurotus ostreatus,67 mg/L,not specified,shaking,30°C,48h,not specified,30.89%,mycelium,
Acid fast red,Pleurotus ostreatus,67 mg/L,not specified,shaking,30°C,72h,not specified,50.33%,mycelium,
Reactive black 5,Pleurotus ostreatus,100 mg/L,not specified,shaking,30°C,24h,not specified,78.27%,mycelium,
Reactive black 5,Pleurotus ostreatus,100 mg/L,not specified,shaking,30°C,48h,not specified,84.37%,mycelium,
Reactive black 5,Pleurotus ostreatus,100 mg/L,not specified,shaking,30°C,72h,not specified,89.56%,mycelium,
Congo red,Pleurotus ostreatus,20 mg/L,not specified,shaking,30°C,24h,not specified,88.16%,mycelium,
Congo red,Pleurotus ostreatus,20 mg/L,not specified,shaking,30°C,48h,not specified,89.40%,mycelium,
Congo red,Pleurotus ostreatus,20 mg/L,not specified,shaking,30°C,72h,not specified,91.52%,mycelium,
Methylene blue,Pleurotus ostreatus,3.3 mg/L,not specified,shaking,30°C,24h,not specified,42.49%,mycelium,
Methylene blue,Pleurotus ostreatus,3.3 mg/L,not specified,shaking,30°C,48h,not specified,42.49%,mycelium,
Methylene blue,Pleurotus ostreatus,3.3 mg/L,not specified,shaking,30°C,72h,not specified,42.49%,mycelium,
Disperse Violet 31,Pleurotus ostreatus,100 mg/L,not specified,shaking,30°C,24h,not specified,88.16%,mycelium,
Disperse Violet 31,Pleurotus ostreatus,100 mg/L,not specified,shaking,30°C,48h,not specified,89.40%,mycelium,
Disperse Violet 31,Pleurotus ostreatus,100 mg/L,not specified,shaking,30°C,72h,not specified,91.52%,mycelium,
Methyl orange,Phanerochaete chrysosporium,6.8 mg/L,not specified,shaking,30°C,24h,not specified,20.42%,mycelium,
Methyl orange,Phanerochaete chrysosporium,6.8 mg/L,not specified,shaking,30°C,48h,not specified,26.39%,mycelium,
Methyl orange,Phanerochaete chrysosporium,6.8 mg/L,not specified,shaking,30°C,72h,not specified,33.16%,mycelium,
Acid fast red,Phanerochaete chrysosporium,67 mg/L,not specified,shaking,30°C,24h,not specified,12.67%,mycelium,
Acid fast red,Phanerochaete chrysosporium,67 mg/L,not specified,shaking,30°C,48h,not specified,13.61%,mycelium,
Acid fast red,Phanerochaete chrysosporium,67 mg/L,not specified,shaking,30°C,72h,not specified,21.94%,mycelium,
Reactive black 5,Phanerochaete chrysosporium,100 mg/L,not specified,shaking,30°C,24h,not specified,23.25%,mycelium,
Reactive black 5,Phanerochaete chrysosporium,100 mg/L,not specified,shaking,30°C,48h,not specified,39.77%,mycelium,
Reactive black 5,Phanerochaete chrysosporium,100 mg/L,not specified,shaking,30°C,72h,not specified,52.72%,mycelium,
Congo red,Phanerochaete chrysosporium,20 mg/L,not specified,shaking,30°C,24h,not specified,85.46%,mycelium,
Congo red,Phanerochaete chrysosporium,20 mg/L,not specified,shaking,30°C,48h,not specified,85.46%,mycelium,
Congo red,Phanerochaete chrysosporium,20 mg/L,not specified,shaking,30°C,72h,not specified,90.42%,mycelium,
Methylene blue,Phanerochaete chrysosporium,3.3 mg/L,not specified,shaking,30°C,24h,not specified,14.83%,mycelium,
Methylene blue,,,,,,,,,,
