type of dye,type of fungi,concentration of dye,concentration of fungi,method of agitation,temperature,duration,pH,decolorization result,"whether the fungi was mycelium, fungal mass or whole fungi",any additional information
Coomassie Brilliant Blue G-250,Salinivibrio kushneri HTSP,500 mg/L,not specified,shaking,37 °C,48 h,not specified,90%,whole fungi,decolorization observed in all tested concentrations
Coomassie Brilliant Blue G-250,Salinivibrio kushneri HTSP,800 mg/L,not specified,shaking,37 °C,48 h,not specified,82%,whole fungi,decolorization observed in all tested concentrations
Coomassie Brilliant Blue G-250,Salinivibrio kushneri HTSP,1000 mg/L,not specified,shaking,37 °C,48 h,not specified,73%,whole fungi,decolorization observed in all tested concentrations
Coomassie Brilliant Blue G-250,Salinivibrio kushneri HTSP,2000 mg/L,not specified,shaking,37 °C,48 h,not specified,68%,whole fungi,decolorization observed in all tested concentrations
Coomassie Brilliant Blue G-250,Salinivibrio kushneri HTSP,3000 mg/L,not specified,shaking,37 °C,48 h,not specified,67%,whole fungi,decolorization observed in all tested concentrations
Congo Red,Salinivibrio kushneri HTSP,50 mg/L,not specified,shaking,37 °C,48 h,not specified,92%,whole fungi,decolorization observed at all concentrations
Congo Red,Salinivibrio kushneri HTSP,150 mg/L,not specified,shaking,37 °C,48 h,not specified,88%,whole fungi,decolorization observed at all concentrations
Congo Red,Salinivibrio kushneri HTSP,300 mg/L,not specified,shaking,37 °C,48 h,not specified,78%,whole fungi,decolorization observed at all concentrations
Congo Red,Salinivibrio kushneri HTSP,600 mg/L,not specified,shaking,37 °C,48 h,not specified,70%,whole fungi,decolorization observed at all concentrations
Safranin,Salinivibrio kushneri HTSP,50 mg/L,not specified,shaking,37 °C,48 h,not specified,100%,whole fungi,decolorization decreased with higher concentrations
Safranin,Salinivibrio kushneri HTSP,150 mg/L,not specified,shaking,37 °C,48 h,not specified,100%,whole fungi,decolorization decreased with higher concentrations
Safranin,Salinivibrio kushneri HTSP,300 mg/L,not specified,shaking,37 °C,48 h,not specified,79%,whole fungi,decolorization decreased with higher concentrations
Safranin,Salinivibrio kushneri HTSP,600 mg/L,not specified,shaking,37 °C,48 h,not specified,25%,whole fungi,decolorization decreased with higher concentrations
Safranin,Salinivibrio kushneri HTSP,800 mg/L,not specified,shaking,37 °C,48 h,not specified,22%,whole fungi,decolorization decreased with higher concentrations
