type of dye,type of fungi,concentration of dye,concentration of fungi,method of agitation,temperature,duration,pH,decolorization result,"whether the fungi was mycelium, fungal mass or whole fungi",any additional information
azo dye,Pyricularia oryzae,not specified,not specified,not specified,not specified,not specified,not specified,"cleavage of dye molecules, no degradation with chloro/nitro substituents",not specified,oxidation of the dye substrates resulted in para-quinone and elemental nitrogen release.
azo dye,Trametes villosa,not specified,not specified,not specified,not specified,not specified,not specified,"substantial degradation, some products polymerize",not specified,retaining azo group.
azo dye,Bacillus subtilis,not specified,not specified,not specified,not specified,not specified,not specified,efficiently degraded majority of tested dyes,not specified,exception for Reactive Yellow 81.
azo dye,not specified,not specified,not specified,not specified,not specified,not specified,not specified,"degradation led to hydroxy-p-benzoquinone, benzene and phenol",not specified,retaining the azo moiety in degradation.
anthraquinone dye,Pleurotus ostreatus,not specified,not specified,not specified,not specified,not specified,not specified,bleached synthetic dyes effectively,not specified,higher laccase secretion than Phanerochaete chrysosporium.
anthraquinone dye,Phanerochaete chrysosporium,not specified,not specified,not specified,not specified,not specified,not specified,bleached by membrane-bound enzyme action,not specified,NAD(P)H-dependent quinone reductases involved.
cyanine dye,Pleurotus ostreatus,not specified,not specified,not specified,not specified,not specified,not specified,bleached with varying efficiency,not specified,different mechanisms for methylene blue and Azure B.
triphenylmethane dye,Trametes versicolor,not specified,not specified,not specified,not specified,not specified,not specified,"bleached, strong preference for acid dyes",not specified,basic dyes toxic to fungus.
phthalocyanine dye,Aspergillus ochraceus NCIM-1146,not specified,not specified,not specified,not specified,not specified,not specified,bleached containing a Cu-phthalocyanine macrocycle,not specified,demetallation by manganese peroxidase.
phthalocyanine dye,Phanerochaete chrysosporium,not specified,not specified,not specified,not specified,not specified,not specified,bleached and broken down into simpler compounds,not specified,phthalocyanine macrocycle was targeted.
