type of dye,type of fungi,concentration of dye,concentration of fungi,method of agitation,temperature,duration,pH,decolorization result,"whether the fungi was mycelium, fungal mass or whole fungi",any additional information
Congo Red,T. virens,50 mg L−1,not specified,shaking,28 °C,8 d,6,93%,living mycelium,
Congo Red,T. viride,50 mg L−1,not specified,shaking,28 °C,8 d,6,95%,living mycelium,
Congo Red,T. virens,50 mg L−1,not specified,shaking,28 °C,8 d,6,94%,dead mycelium,
Congo Red,T. viride,50 mg L−1,not specified,shaking,28 °C,8 d,6,95%,dead mycelium,
Malachite Green,T. virens,50 mg L−1,not specified,shaking,28 °C,8 d,6,95%,living mycelium,
Malachite Green,T. viride,50 mg L−1,not specified,shaking,28 °C,8 d,6,75%,living mycelium,
Malachite Green,T. virens,50 mg L−1,not specified,shaking,28 °C,8 d,6,87%,dead mycelium,
Malachite Green,T. viride,50 mg L−1,not specified,shaking,28 °C,8 d,6,82%,dead mycelium,
Congo Red,T. virens,15 mg L−1,not specified,shaking,25 °C,24 h,6,not specified,dry biomass,
Malachite Green,T. virens,15 mg L−1,not specified,shaking,25 °C,24 h,6,not specified,dry biomass,
Congo Red,T. viride,15 mg L−1,not specified,shaking,25 °C,24 h,6,not specified,dry biomass,
Malachite Green,T. viride,15 mg L−1,not specified,shaking,25 °C,24 h,6,not specified,dry biomass,
