type of dye,type of fungi,concentration of dye,concentration of fungi,method of agitation,temperature,duration,pH,decolorization result,"whether the fungi was mycelium, fungal mass or whole fungi",any additional information
Congo Red,Grammothele subargentea,0.01%,not specified,not specified,25 °C,7 days,not specified,1,mycelium,Growth reduction: 22%. Laccase activity: 24.1 mU/cm³.
Methyl Red,Grammothele subargentea,0.01%,not specified,not specified,25 °C,7 days,not specified,1,mycelium,Growth reduction: 42.4%. Laccase activity: 52.2 mU/cm³.
Trypan Blue,Grammothele subargentea,0.01%,not specified,not specified,25 °C,7 days,not specified,1,mycelium,Growth reduction: 1.3%. Laccase activity: 8.6 mU/cm³.
Methylene Blue B,Grammothele subargentea,0.01%,not specified,not specified,25 °C,21 days,not specified,4,mycelium,Growth reduction: 26.9%. Laccase activity: 13.8 mU/cm³.
Neutral Red,Grammothele subargentea,0.01%,not specified,not specified,25 °C,14 days,not specified,2,mycelium,Growth reduction: 17.4%. Laccase activity: 13.5 mU/cm³.
Toluidine Blue,Grammothele subargentea,0.01%,not specified,not specified,25 °C,14 days,not specified,2,mycelium,Growth reduction: 19.5%. Laccase activity: 8.9 mU/cm³.
Bengal Rose,Grammothele subargentea,0.01%,not specified,not specified,25 °C,7 days,not specified,1,mycelium,Growth reduction: 50.6%. Laccase activity: 75.0 mU/cm³.
Eosin Y,Grammothele subargentea,0.01%,not specified,not specified,25 °C,14 days,not specified,2,mycelium,Growth reduction: 38.7%. Laccase activity: 9.2 mU/cm³.
Phloxine,Grammothele subargentea,0.01%,not specified,not specified,25 °C,7 days,not specified,1,mycelium,Growth reduction: 36.8%. Laccase activity: 14.1 mU/cm³.
Brilliant Green,Grammothele subargentea,0.01%,not specified,not specified,25 °C,21 days,not specified,3,mycelium,Growth reduction: 90.3%. Laccase activity: 292.0 mU/cm³.
Crystal Violet,Grammothele subargentea,0.01%,not specified,not specified,25 °C,21 days,not specified,3,mycelium,Growth reduction: 84.8%. Laccase activity: 143.5 mU/cm³.
Fuchsin,Grammothele subargentea,0.01%,not specified,not specified,25 °C,14 days,not specified,2,mycelium,Growth reduction: 23.9%. Laccase activity: 55.9 mU/cm³.
