type of dye,type of fungi,concentration of dye,concentration of fungi,method of agitation,temperature,duration,pH,decolorization result,"whether the fungi was mycelium, fungal mass or whole fungi",any additional information
Amaranth,Trametes versicolor,50 ppm,not specified,shaking,30 °C,24 h,not specified,100%,mycelium,Sequential additions; glucose and nitrogen monitoring included.
Remazol Black B,Trametes versicolor,60 ppm,not specified,shaking,30 °C,24 h,not specified,100%,mycelium,Sequential additions; glucose and nitrogen monitoring included.
Remazol Orange,Trametes versicolor,60 ppm,not specified,shaking,30 °C,24 h,not specified,100%,mycelium,Sequential additions; glucose and nitrogen monitoring included.
Tropaeolin O,Trametes versicolor,20 ppm,not specified,shaking,30 °C,24 h,not specified,100%,mycelium,Sequential additions; glucose and nitrogen monitoring included.
Reactive Blue,Trametes versicolor,20 ppm,not specified,shaking,30 °C,24 h,not specified,100%,mycelium,Sequential additions; glucose and nitrogen monitoring included.
Remazol Black,Bjerkandera sp. BOS55,60 ppm,not specified,shaking,not specified,48 h,not specified,0%,mycelium,Sequential additions; glucose and nitrogen monitoring included.
Remazol Orange,Bjerkandera sp. BOS55,60 ppm,not specified,shaking,not specified,48 h,not specified,54%,mycelium,Sequential additions; glucose and nitrogen monitoring included.
Remazol Black,Phanerochaete chrysosporium,60 ppm,not specified,shaking,30 °C,24 h,not specified,100%,mycelium,Sequential additions; glucose and nitrogen monitoring included.
Amaranth,Phanerochaete chrysosporium,50 ppm,not specified,shaking,30 °C,24 h,not specified,100%,mycelium,Sequential additions; glucose and nitrogen monitoring included.
Amaranth,Bjerkandera sp. BOS55,50 ppm,not specified,shaking,30 °C,24 h,not specified,0%,mycelium,Sequential additions; glucose and nitrogen monitoring included.
None (no dye added),Bjerkandera sp. BOS55,not applicable,not specified,static,not specified,10 d,not specified,not applicable,mycelium,Tested culture for decolorization ability without dye.
