type of dye,type of fungi,concentration of dye,concentration of fungi,method of agitation,temperature,duration,pH,decolorization result,"whether the fungi was mycelium, fungal mass or whole fungi",any additional information
Disperse Blue 64,Aspergillus flavus,300 mg/L,not specified,static,30°C,48 h,7.0,30.3%,whole fungi,individual strain
Disperse Blue 64,Pseudomonas aeruginosa,300 mg/L,not specified,static,30°C,48 h,7.0,22.4%,not applicable,individual strain
Disperse Blue 64,Aspergillus flavus and Pseudomonas aeruginosa,50 mg/L,not specified,static,30°C,48 h,7.0,>99%,whole fungi,consortium
Disperse Blue 64,Aspergillus flavus and Pseudomonas aeruginosa,100 mg/L,not specified,static,30°C,48 h,7.0,>99%,whole fungi,consortium
Disperse Blue 64,Aspergillus flavus and Pseudomonas aeruginosa,300 mg/L,not specified,static,30°C,48 h,7.0,55.2%,whole fungi,consortium
Acid Yellow 17,Aspergillus flavus,300 mg/L,not specified,static,30°C,48 h,7.0,4.6%,whole fungi,individual strain
Acid Yellow 17,Pseudomonas aeruginosa,300 mg/L,not specified,static,30°C,48 h,7.0,7.5%,not applicable,individual strain
Acid Yellow 17,Aspergillus flavus and Pseudomonas aeruginosa,50 mg/L,not specified,static,30°C,48 h,7.0,>99%,whole fungi,consortium
Acid Yellow 17,Aspergillus flavus and Pseudomonas aeruginosa,100 mg/L,not specified,static,30°C,48 h,7.0,>99%,whole fungi,consortium
Acid Yellow 17,Aspergillus flavus and Pseudomonas aeruginosa,300 mg/L,not specified,static,30°C,48 h,7.0,57.6%,whole fungi,consortium
