type of dye,type of fungi,concentration of dye,concentration of fungi,method of agitation,temperature,duration,pH,decolorization result,"whether the fungi was mycelium, fungal mass or whole fungi",any additional information
Reactive Red HE8B,Phanerochaete chrysosporium,10 mg/L,not specified,static,27 °C,13 days,not specified,100%,fungal mass,performed in liquid media
Reactive Black B,Phanerochaete chrysosporium,10 mg/L,not specified,static,27 °C,11 days,not specified,100%,fungal mass,performed in liquid media
Reactive Golden Yellow HR,Phanerochaete chrysosporium,10 mg/L,not specified,static,27 °C,11 days,not specified,100%,fungal mass,performed in liquid media
Reactive Violet 5R,Phanerochaete chrysosporium,10 mg/L,not specified,static,27 °C,11 days,not specified,100%,fungal mass,performed in liquid media
Reactive Red HE8B,Phanerochaete chrysosporium,10 mg/L,not specified,static,27 °C,11 days,not specified,100%,fungal mass,supplemented with dextrose as carbon source
Reactive Red HE8B,Phanerochaete chrysosporium,10 mg/L,not specified,static,27 °C,11 days,not specified,100%,fungal mass,supplemented with asparagine as nitrogen source
Reactive Red HE8B,Phanerochaete chrysosporium,50 mg/L,not specified,static,27 °C,greater than 11 days,not specified,"varied, slower than 10 mg/L",fungal mass,tested across several concentrations
Reactive Red HE8B,Phanerochaete chrysosporium,100 mg/L,not specified,static,27 °C,greater than 11 days,not specified,"varied, slower than 10 mg/L",fungal mass,tested across several concentrations
Reactive Red HE8B,Phanerochaete chrysosporium,250 mg/L,not specified,static,27 °C,varied substantially,not specified,dilution inhibited fungus activity,fungal mass,tested across several concentrations
Reactive Red HE8B,Phanerochaete chrysosporium,500 mg/L,not specified,static,27 °C,inhibitory effects observed,not specified,none,fungal mass,tested across several concentrations
