temperature,duration,pH,source_file,type_of_dye,type_of_fungi,concentration_of_dye,concentration_of_fungi,method_of_agitation,decolorization_result,additional_information,fungal_form
25 °C,6 days,6.8,Removal+of+methylene+blue+and+malachite+green+from+aqueous+solution+by+Chlorella+and+Chlamydomonas+species+isolated+from+a+thermal+spring+environment_.csv,Methylene Blue,Desmodesmus sp.,20 mg.L-1,0.25 g.L-1,not specified,64.4%,,whole fungi
25 °C,8 days,6.8,Removal+of+methylene+blue+and+malachite+green+from+aqueous+solution+by+Chlorella+and+Chlamydomonas+species+isolated+from+a+thermal+spring+environment_.csv,Methylene Blue,Desmodesmus sp.,5 mg.L-1,0.25 g.L-1,not specified,95.7%,,whole fungi
25 °C,4 days,6.8,Removal+of+methylene+blue+and+malachite+green+from+aqueous+solution+by+Chlorella+and+Chlamydomonas+species+isolated+from+a+thermal+spring+environment_.csv,Malachite Green,Desmodesmus sp.,20 mg.L-1,0.25 g.L-1,not specified,88.9%,,whole fungi
25 °C,8 days,6.8,Removal+of+methylene+blue+and+malachite+green+from+aqueous+solution+by+Chlorella+and+Chlamydomonas+species+isolated+from+a+thermal+spring+environment_.csv,Malachite Green,Desmodesmus sp.,5 mg.L-1,0.25 g.L-1,not specified,63.2%,,whole fungi
30°C,48-70 hours,,Biodegradation+of+mixed+textile+dyes+by+bacterial+strain+isolated+from+dye+waste+effluent_.csv,"Blue RR, Black B, Red RR, Yellow RR",,2700 mg/L,,,50-60%,,
30°C,24-30 hours,7.0,Biodegradation+of+mixed+textile+dyes+by+bacterial+strain+isolated+from+dye+waste+effluent_.csv,Mixed reactive dyes,Lysinibacillus sphaericus RSV-1,500 ppm (initial),1.0 OD at 600 nm,,Complete,,Fungal mass
30°C,24-30 hours,7.0,Biodegradation+of+mixed+textile+dyes+by+bacterial+strain+isolated+from+dye+waste+effluent_.csv,Mixed reactive dyes,Stenotrophomonas maltophilia RSV-2,500 ppm (initial),1.0 OD at 600 nm,,Complete,,Fungal mass
30±2°C,7 days,,Biodegradation+of+mixed+textile+dyes+by+bacterial+strain+isolated+from+dye+waste+effluent_.csv,Mixed dye,Lysinibacillus sphaericus RSV-1,500 ppm,,,80% germination with metabolites,Phytotoxicity study on Triticum aestivum,
37°C,48 hours,,Biodegradation+of+mixed+textile+dyes+by+bacterial+strain+isolated+from+dye+waste+effluent_.csv,Degraded metabolites,,31.25 - 500 µg/ml,,,79.41-98.42% cell viability,Cytotoxicity study on HEK 293 cell line,
,48 hours,,Biodegradation+of+mixed+textile+dyes+by+bacterial+strain+isolated+from+dye+waste+effluent_.csv,Real textile effluent,Lysinibacillus sphaericus RSV-1,,,,"BOD reduction 76%, COD reduction 62.48%, TOC reduction 47.57%",Study conducted on real textile effluent,
,48 hours,,Biodegradation+of+mixed+textile+dyes+by+bacterial+strain+isolated+from+dye+waste+effluent_.csv,Real textile effluent,Stenotrophomonas maltophilia RSV-2,,,,"BOD reduction 36.86%, COD reduction 60.71%, TOC reduction 44.48%",Study conducted on real textile effluent,
,48 hours,,Biodegradation+of+mixed+textile+dyes+by+bacterial+strain+isolated+from+dye+waste+effluent_.csv,Real textile effluent,Consortium of RSV-1 and RSV-2,,,,"BOD reduction 56.56%, COD reduction 67.10%, TOC reduction 48.96%",Study conducted on real textile effluent,
,12h,,Removal+of+Phenolic+Monomers+from+Solution+by+T.+pubescens_.csv,Phenol,Trametes versicolor,20%,,static,5.99 mM residual,,whole fungi
,12h,,Removal+of+Phenolic+Monomers+from+Solution+by+T.+pubescens_.csv,p-cresol,Trametes versicolor,20%,,static,0 mM residual,,whole fungi
,12h,,Removal+of+Phenolic+Monomers+from+Solution+by+T.+pubescens_.csv,m-cresol,Trametes versicolor,20%,,static,0 mM residual,,whole fungi
,12h,,Removal+of+Phenolic+Monomers+from+Solution+by+T.+pubescens_.csv,o-cresol,Trametes versicolor,20%,,static,0.04 mM residual,,whole fungi
,varies,,Removal+of+Phenolic+Monomers+from+Solution+by+T.+pubescens_.csv,Phenol,Trametes pubescens,2.5%,10%,static,complete removal,,whole fungi
,varies,,Removal+of+Phenolic+Monomers+from+Solution+by+T.+pubescens_.csv,p-cresol,Trametes pubescens,5%,10%,static,complete removal,,whole fungi
,varies,,Removal+of+Phenolic+Monomers+from+Solution+by+T.+pubescens_.csv,m-cresol,Trametes pubescens,5%,10%,static,complete removal,,whole fungi
,varies,,Removal+of+Phenolic+Monomers+from+Solution+by+T.+pubescens_.csv,o-cresol,Trametes pubescens,5%,10%,static,complete removal,,whole fungi
30 °C,300 s,3.0,Reductive+decolorization+of+indigo+carmine+dye+with+Bacillus+sp.+MZS10_2015.csv,Indigo Carmine,Funalia trogii,100 mg/L,,Agitation (150 rpm),57%,,mycelium
60 °C,300 s,3.0,Reductive+decolorization+of+indigo+carmine+dye+with+Bacillus+sp.+MZS10_2015.csv,Indigo Carmine,Funalia trogii,100 mg/L,,Agitation (150 rpm),45%,,mycelium
70 °C,300 s,3.0,Reductive+decolorization+of+indigo+carmine+dye+with+Bacillus+sp.+MZS10_2015.csv,Indigo Carmine,Funalia trogii,100 mg/L,,Agitation (150 rpm),38%,,mycelium
30 °C,4 h,6.0,Reductive+decolorization+of+indigo+carmine+dye+with+Bacillus+sp.+MZS10_2015.csv,Indigo Carmine,Pseudomonas aeruginosa,50 mg/L,,Agitation (150 rpm),92%,,whole fungi
